377152 the co goc | da co 87155 mau trong data/data_pikafish_s21.jsonl | phan bo hien tai {'khai_cuoc': 21284, 'trung_cuoc': 44607, 'tan_cuoc': 21264}
87655/1340000 | van 13 | khai 24% trung 51% tan 24% | 7351 mau/phut
88155/1340000 | van 21 | khai 24% trung 51% tan 24% | 9459 mau/phut
88655/1340000 | van 29 | khai 24% trung 51% tan 24% | 9800 mau/phut
89155/1340000 | van 35 | khai 24% trung 51% tan 24% | 10604 mau/phut
89655/1340000 | van 40 | khai 24% trung 51% tan 24% | 11511 mau/phut
90155/1340000 | van 49 | khai 24% trung 51% tan 24% | 11948 mau/phut
90655/1340000 | van 55 | khai 24% trung 51% tan 24% | 12423 mau/phut
91155/1340000 | van 61 | khai 24% trung 51% tan 24% | 12611 mau/phut
91655/1340000 | van 69 | khai 24% trung 51% tan 24% | 12805 mau/phut
92155/1340000 | van 76 | khai 24% trung 51% tan 24% | 12983 mau/phut
92655/1340000 | van 82 | khai 24% trung 51% tan 24% | 13048 mau/phut
93155/1340000 | van 90 | khai 24% trung 51% tan 24% | 13198 mau/phut
93655/1340000 | van 97 | khai 24% trung 51% tan 24% | 13250 mau/phut
94155/1340000 | van 103 | khai 24% trung 51% tan 24% | 13306 mau/phut
94655/1340000 | van 109 | khai 24% trung 51% tan 24% | 13280 mau/phut
95155/1340000 | van 117 | khai 24% trung 51% tan 24% | 13207 mau/phut
95655/1340000 | van 126 | khai 24% trung 51% tan 24% | 13223 mau/phut
96155/1340000 | van 131 | khai 24% trung 51% tan 24% | 13321 mau/phut
96655/1340000 | van 138 | khai 24% trung 51% tan 24% | 13493 mau/phut
97155/1340000 | van 143 | khai 24% trung 51% tan 24% | 13589 mau/phut
97655/1340000 | van 152 | khai 24% trung 51% tan 24% | 13550 mau/phut
98155/1340000 | van 159 | khai 24% trung 51% tan 24% | 13649 mau/phut
98655/1340000 | van 165 | khai 24% trung 51% tan 24% | 13536 mau/phut
99155/1340000 | van 173 | khai 24% trung 51% tan 24% | 13607 mau/phut
99655/1340000 | van 179 | khai 24% trung 51% tan 24% | 13259 mau/phut
100155/1340000 | van 185 | khai 24% trung 51% tan 24% | 12954 mau/phut
100655/1340000 | van 193 | khai 24% trung 51% tan 24% | 12476 mau/phut
101155/1340000 | van 200 | khai 24% trung 51% tan 24% | 12440 mau/phut
101655/1340000 | van 206 | khai 24% trung 51% tan 24% | 12435 mau/phut
102155/1340000 | van 212 | khai 24% trung 51% tan 24% | 12414 mau/phut
102655/1340000 | van 219 | khai 24% trung 51% tan 24% | 12307 mau/phut
103155/1340000 | van 225 | khai 24% trung 51% tan 24% | 12241 mau/phut
103655/1340000 | van 232 | khai 24% trung 51% tan 24% | 12220 mau/phut
104155/1340000 | van 238 | khai 24% trung 51% tan 24% | 12111 mau/phut
104655/1340000 | van 245 | khai 24% trung 51% tan 24% | 12047 mau/phut
105155/1340000 | van 252 | khai 24% trung 51% tan 24% | 12000 mau/phut
105655/1340000 | van 259 | khai 24% trung 51% tan 24% | 11856 mau/phut
106155/1340000 | van 266 | khai 24% trung 51% tan 24% | 11645 mau/phut
106655/1340000 | van 272 | khai 24% trung 51% tan 24% | 11172 mau/phut
107155/1340000 | van 278 | khai 24% trung 51% tan 24% | 7767 mau/phut
107655/1340000 | van 285 | khai 24% trung 51% tan 24% | 6988 mau/phut
108155/1340000 | van 292 | khai 24% trung 51% tan 24% | 6900 mau/phut
108655/1340000 | van 298 | khai 24% trung 51% tan 24% | 6888 mau/phut
109155/1340000 | van 306 | khai 24% trung 51% tan 24% | 6870 mau/phut
109655/1340000 | van 312 | khai 24% trung 51% tan 24% | 6863 mau/phut
110155/1340000 | van 318 | khai 24% trung 51% tan 24% | 6871 mau/phut
110655/1340000 | van 325 | khai 24% trung 51% tan 24% | 6887 mau/phut
111155/1340000 | van 333 | khai 24% trung 51% tan 24% | 6910 mau/phut
111655/1340000 | van 339 | khai 24% trung 51% tan 24% | 6907 mau/phut
112155/1340000 | van 345 | khai 24% trung 51% tan 24% | 6935 mau/phut
112655/1340000 | van 351 | khai 24% trung 51% tan 24% | 6787 mau/phut
113155/1340000 | van 358 | khai 24% trung 51% tan 24% | 6752 mau/phut
113655/1340000 | van 365 | khai 24% trung 51% tan 24% | 6796 mau/phut
114155/1340000 | van 372 | khai 24% trung 51% tan 24% | 6835 mau/phut
114655/1340000 | van 379 | khai 24% trung 51% tan 24% | 6910 mau/phut
115155/1340000 | van 384 | khai 24% trung 51% tan 24% | 6979 mau/phut
115655/1340000 | van 391 | khai 24% trung 51% tan 24% | 7041 mau/phut
116155/1340000 | van 399 | khai 24% trung 51% tan 24% | 7102 mau/phut
116655/1340000 | van 405 | khai 24% trung 51% tan 24% | 2119 mau/phut
117155/1340000 | van 411 | khai 24% trung 51% tan 24% | 1698 mau/phut
117655/1340000 | van 418 | khai 24% trung 51% tan 24% | 1723 mau/phut
118155/1340000 | van 425 | khai 24% trung 51% tan 24% | 1748 mau/phut
118655/1340000 | van 432 | khai 24% trung 51% tan 24% | 1773 mau/phut
119155/1340000 | van 439 | khai 24% trung 51% tan 24% | 1716 mau/phut
119655/1340000 | van 446 | khai 24% trung 51% tan 24% | 1739 mau/phut
120155/1340000 | van 453 | khai 24% trung 51% tan 24% | 1759 mau/phut
120655/1340000 | van 459 | khai 24% trung 51% tan 24% | 1782 mau/phut
121155/1340000 | van 466 | khai 24% trung 51% tan 24% | 1805 mau/phut
121655/1340000 | van 473 | khai 24% trung 51% tan 24% | 1828 mau/phut
122155/1340000 | van 478 | khai 24% trung 51% tan 24% | 1832 mau/phut
122655/1340000 | van 485 | khai 24% trung 51% tan 24% | 1854 mau/phut
123155/1340000 | van 491 | khai 24% trung 51% tan 24% | 1877 mau/phut
123655/1340000 | van 499 | khai 24% trung 51% tan 24% | 1899 mau/phut
124155/1340000 | van 505 | khai 24% trung 51% tan 24% | 1922 mau/phut
124655/1340000 | van 511 | khai 24% trung 51% tan 24% | 1944 mau/phut
125155/1340000 | van 517 | khai 24% trung 51% tan 24% | 1967 mau/phut
125655/1340000 | van 524 | khai 24% trung 51% tan 24% | 1989 mau/phut
126155/1340000 | van 532 | khai 24% trung 51% tan 24% | 2011 mau/phut
126655/1340000 | van 540 | khai 24% trung 51% tan 24% | 2032 mau/phut
127155/1340000 | van 547 | khai 24% trung 51% tan 24% | 2054 mau/phut
127655/1340000 | van 553 | khai 24% trung 51% tan 24% | 2077 mau/phut
128155/1340000 | van 559 | khai 24% trung 51% tan 24% | 2098 mau/phut
128655/1340000 | van 567 | khai 24% trung 51% tan 24% | 2119 mau/phut
129155/1340000 | van 574 | khai 24% trung 51% tan 24% | 2141 mau/phut
129655/1340000 | van 580 | khai 24% trung 51% tan 24% | 2163 mau/phut
130155/1340000 | van 586 | khai 24% trung 51% tan 24% | 2185 mau/phut
130655/1340000 | van 593 | khai 24% trung 51% tan 24% | 2207 mau/phut
131155/1340000 | van 601 | khai 24% trung 51% tan 24% | 2228 mau/phut
131655/1340000 | van 608 | khai 24% trung 51% tan 24% | 2249 mau/phut
132155/1340000 | van 614 | khai 24% trung 51% tan 24% | 2270 mau/phut
132655/1340000 | van 621 | khai 24% trung 51% tan 24% | 2291 mau/phut
133155/1340000 | van 627 | khai 24% trung 51% tan 24% | 2312 mau/phut
133655/1340000 | van 634 | khai 24% trung 51% tan 24% | 2333 mau/phut
134155/1340000 | van 640 | khai 24% trung 52% tan 24% | 2353 mau/phut
134655/1340000 | van 646 | khai 24% trung 52% tan 24% | 2373 mau/phut
135155/1340000 | van 653 | khai 24% trung 52% tan 24% | 2394 mau/phut
135655/1340000 | van 659 | khai 24% trung 52% tan 24% | 2414 mau/phut
136155/1340000 | van 666 | khai 24% trung 52% tan 24% | 2434 mau/phut
136655/1340000 | van 673 | khai 24% trung 52% tan 24% | 2455 mau/phut
137155/1340000 | van 679 | khai 24% trung 52% tan 24% | 2475 mau/phut
137655/1340000 | van 688 | khai 24% trung 52% tan 24% | 2496 mau/phut
138155/1340000 | van 694 | khai 24% trung 52% tan 24% | 2515 mau/phut
138655/1340000 | van 700 | khai 24% trung 52% tan 24% | 2535 mau/phut
139155/1340000 | van 705 | khai 24% trung 52% tan 24% | 2555 mau/phut
139655/1340000 | van 713 | khai 24% trung 52% tan 24% | 2574 mau/phut
140155/1340000 | van 720 | khai 24% trung 52% tan 24% | 2594 mau/phut
140655/1340000 | van 726 | khai 24% trung 52% tan 24% | 2613 mau/phut
141155/1340000 | van 733 | khai 24% trung 52% tan 24% | 2632 mau/phut
141655/1340000 | van 739 | khai 24% trung 52% tan 24% | 2651 mau/phut
142155/1340000 | van 746 | khai 24% trung 52% tan 24% | 2670 mau/phut
142655/1340000 | van 752 | khai 24% trung 52% tan 24% | 2689 mau/phut
143155/1340000 | van 760 | khai 24% trung 52% tan 24% | 2707 mau/phut
143655/1340000 | van 766 | khai 24% trung 52% tan 24% | 2726 mau/phut
144155/1340000 | van 772 | khai 24% trung 52% tan 24% | 2744 mau/phut
144655/1340000 | van 779 | khai 24% trung 52% tan 24% | 2761 mau/phut
145155/1340000 | van 788 | khai 24% trung 52% tan 24% | 2780 mau/phut
145655/1340000 | van 795 | khai 24% trung 52% tan 24% | 2800 mau/phut
146155/1340000 | van 801 | khai 24% trung 52% tan 24% | 2813 mau/phut
146655/1340000 | van 808 | khai 24% trung 52% tan 24% | 2832 mau/phut
147155/1340000 | van 814 | khai 24% trung 52% tan 24% | 2851 mau/phut
147655/1340000 | van 821 | khai 24% trung 52% tan 24% | 2869 mau/phut
148155/1340000 | van 827 | khai 24% trung 52% tan 24% | 2887 mau/phut
148655/1340000 | van 835 | khai 24% trung 52% tan 24% | 2905 mau/phut
149155/1340000 | van 842 | khai 24% trung 52% tan 24% | 2923 mau/phut
149655/1340000 | van 848 | khai 24% trung 52% tan 24% | 2940 mau/phut
150155/1340000 | van 854 | khai 24% trung 52% tan 24% | 2959 mau/phut
150655/1340000 | van 860 | khai 24% trung 52% tan 24% | 2977 mau/phut
151155/1340000 | van 866 | khai 24% trung 52% tan 24% | 2995 mau/phut
151655/1340000 | van 873 | khai 24% trung 52% tan 24% | 3008 mau/phut
152155/1340000 | van 880 | khai 24% trung 52% tan 24% | 3020 mau/phut
152655/1340000 | van 888 | khai 24% trung 52% tan 24% | 3032 mau/phut
153155/1340000 | van 895 | khai 24% trung 52% tan 24% | 3046 mau/phut
153655/1340000 | van 902 | khai 24% trung 52% tan 24% | 3060 mau/phut
154155/1340000 | van 909 | khai 24% trung 52% tan 24% | 3076 mau/phut
154655/1340000 | van 915 | khai 24% trung 52% tan 24% | 3094 mau/phut
155155/1340000 | van 923 | khai 24% trung 52% tan 24% | 3107 mau/phut
155655/1340000 | van 929 | khai 24% trung 52% tan 24% | 2168 mau/phut
156155/1340000 | van 935 | khai 24% trung 52% tan 24% | 2182 mau/phut
156655/1340000 | van 942 | khai 24% trung 52% tan 24% | 2195 mau/phut
157155/1340000 | van 948 | khai 24% trung 52% tan 24% | 2209 mau/phut
157655/1340000 | van 956 | khai 24% trung 52% tan 24% | 1509 mau/phut
158155/1340000 | van 963 | khai 24% trung 52% tan 24% | 1518 mau/phut
158655/1340000 | van 970 | khai 24% trung 52% tan 24% | 1528 mau/phut
159155/1340000 | van 978 | khai 24% trung 52% tan 24% | 1537 mau/phut
159655/1340000 | van 986 | khai 24% trung 52% tan 24% | 1545 mau/phut
160155/1340000 | van 992 | khai 24% trung 52% tan 24% | 1555 mau/phut
160655/1340000 | van 998 | khai 24% trung 52% tan 24% | 1386 mau/phut
161155/1340000 | van 1004 | khai 24% trung 52% tan 24% | 1394 mau/phut
161655/1340000 | van 1012 | khai 24% trung 52% tan 24% | 1403 mau/phut
162155/1340000 | van 1019 | khai 24% trung 52% tan 24% | 1411 mau/phut
162655/1340000 | van 1025 | khai 24% trung 52% tan 24% | 1419 mau/phut
163155/1340000 | van 1032 | khai 24% trung 52% tan 24% | 1427 mau/phut
163655/1340000 | van 1040 | khai 24% trung 52% tan 24% | 1435 mau/phut
164155/1340000 | van 1046 | khai 24% trung 52% tan 24% | 1443 mau/phut
164655/1340000 | van 1052 | khai 24% trung 52% tan 24% | 1451 mau/phut
165155/1340000 | van 1060 | khai 24% trung 52% tan 24% | 1459 mau/phut
165655/1340000 | van 1068 | khai 24% trung 52% tan 24% | 1467 mau/phut
166155/1340000 | van 1075 | khai 24% trung 52% tan 24% | 1475 mau/phut
166655/1340000 | van 1082 | khai 24% trung 52% tan 24% | 1484 mau/phut
167155/1340000 | van 1088 | khai 24% trung 52% tan 24% | 1492 mau/phut
167655/1340000 | van 1094 | khai 24% trung 52% tan 24% | 1500 mau/phut
168155/1340000 | van 1100 | khai 24% trung 52% tan 24% | 1508 mau/phut
168655/1340000 | van 1107 | khai 24% trung 52% tan 24% | 1516 mau/phut
169155/1340000 | van 1113 | khai 24% trung 52% tan 24% | 1524 mau/phut
169655/1340000 | van 1120 | khai 24% trung 52% tan 24% | 1532 mau/phut
170155/1340000 | van 1127 | khai 24% trung 52% tan 24% | 1540 mau/phut
170655/1340000 | van 1133 | khai 24% trung 52% tan 24% | 1549 mau/phut
171155/1340000 | van 1140 | khai 24% trung 52% tan 24% | 1557 mau/phut
171655/1340000 | van 1147 | khai 24% trung 52% tan 24% | 1565 mau/phut
172155/1340000 | van 1153 | khai 24% trung 52% tan 24% | 1573 mau/phut
172655/1340000 | van 1160 | khai 24% trung 52% tan 24% | 1581 mau/phut
173155/1340000 | van 1167 | khai 24% trung 52% tan 24% | 1589 mau/phut
173655/1340000 | van 1173 | khai 24% trung 52% tan 24% | 1597 mau/phut
174155/1340000 | van 1181 | khai 24% trung 52% tan 24% | 1605 mau/phut
174655/1340000 | van 1187 | khai 24% trung 52% tan 24% | 1613 mau/phut
175155/1340000 | van 1193 | khai 24% trung 52% tan 24% | 1621 mau/phut
175655/1340000 | van 1200 | khai 24% trung 52% tan 24% | 1629 mau/phut
176155/1340000 | van 1207 | khai 24% trung 52% tan 24% | 1637 mau/phut
176655/1340000 | van 1213 | khai 24% trung 52% tan 24% | 1645 mau/phut
177155/1340000 | van 1219 | khai 24% trung 52% tan 24% | 1653 mau/phut
177655/1340000 | van 1226 | khai 24% trung 52% tan 24% | 1661 mau/phut
178155/1340000 | van 1233 | khai 24% trung 52% tan 24% | 1669 mau/phut
178655/1340000 | van 1240 | khai 24% trung 52% tan 24% | 1677 mau/phut
179155/1340000 | van 1249 | khai 24% trung 52% tan 24% | 1685 mau/phut
179655/1340000 | van 1255 | khai 24% trung 52% tan 24% | 1693 mau/phut
180155/1340000 | van 1261 | khai 24% trung 52% tan 24% | 1701 mau/phut
180655/1340000 | van 1267 | khai 24% trung 52% tan 24% | 1709 mau/phut
181155/1340000 | van 1273 | khai 24% trung 52% tan 24% | 1717 mau/phut
