Co 5297 the co khai cuoc lam diem xuat phat
Da co san 769 the co trong data_w3.jsonl
775/6216000 | khai 2, trung 2, tan 2 | nhan: chessdb 0, engine 6 | 959 mau/phut
800/6216000 | khai 10, trung 12, tan 9 | nhan: chessdb 0, engine 31 | 572 mau/phut
825/6216000 | khai 17, trung 22, tan 17 | nhan: chessdb 0, engine 56 | 607 mau/phut
850/6216000 | khai 25, trung 32, tan 24 | nhan: chessdb 0, engine 81 | 622 mau/phut
875/6216000 | khai 32, trung 42, tan 32 | nhan: chessdb 0, engine 106 | 666 mau/phut
900/6216000 | khai 40, trung 52, tan 39 | nhan: chessdb 0, engine 131 | 679 mau/phut
925/6216000 | khai 47, trung 62, tan 47 | nhan: chessdb 0, engine 156 | 667 mau/phut
950/6216000 | khai 55, trung 72, tan 54 | nhan: chessdb 0, engine 181 | 664 mau/phut
975/6216000 | khai 62, trung 82, tan 62 | nhan: chessdb 0, engine 206 | 673 mau/phut
1000/6216000 | khai 70, trung 92, tan 69 | nhan: chessdb 0, engine 231 | 668 mau/phut
1025/6216000 | khai 77, trung 102, tan 77 | nhan: chessdb 0, engine 256 | 675 mau/phut
1050/6216000 | khai 85, trung 112, tan 84 | nhan: chessdb 0, engine 281 | 673 mau/phut
1075/6216000 | khai 92, trung 122, tan 92 | nhan: chessdb 0, engine 306 | 675 mau/phut
1100/6216000 | khai 100, trung 132, tan 99 | nhan: chessdb 0, engine 331 | 678 mau/phut
1125/6216000 | khai 107, trung 142, tan 107 | nhan: chessdb 0, engine 356 | 674 mau/phut
1150/6216000 | khai 115, trung 152, tan 114 | nhan: chessdb 0, engine 381 | 677 mau/phut
1175/6216000 | khai 122, trung 162, tan 122 | nhan: chessdb 0, engine 406 | 675 mau/phut
1200/6216000 | khai 130, trung 172, tan 129 | nhan: chessdb 0, engine 431 | 677 mau/phut
1225/6216000 | khai 137, trung 182, tan 137 | nhan: chessdb 0, engine 456 | 678 mau/phut
1250/6216000 | khai 145, trung 192, tan 144 | nhan: chessdb 0, engine 481 | 677 mau/phut
1275/6216000 | khai 152, trung 202, tan 152 | nhan: chessdb 0, engine 506 | 677 mau/phut
1300/6216000 | khai 160, trung 212, tan 159 | nhan: chessdb 0, engine 531 | 678 mau/phut
1325/6216000 | khai 167, trung 222, tan 167 | nhan: chessdb 0, engine 556 | 678 mau/phut
1350/6216000 | khai 175, trung 232, tan 174 | nhan: chessdb 0, engine 581 | 677 mau/phut
1375/6216000 | khai 182, trung 242, tan 182 | nhan: chessdb 0, engine 606 | 675 mau/phut
1400/6216000 | khai 190, trung 252, tan 189 | nhan: chessdb 0, engine 631 | 675 mau/phut
1425/6216000 | khai 197, trung 262, tan 197 | nhan: chessdb 0, engine 656 | 676 mau/phut
1450/6216000 | khai 205, trung 272, tan 204 | nhan: chessdb 0, engine 681 | 674 mau/phut
1475/6216000 | khai 212, trung 282, tan 212 | nhan: chessdb 0, engine 706 | 676 mau/phut
1500/6216000 | khai 220, trung 292, tan 219 | nhan: chessdb 0, engine 731 | 674 mau/phut
1525/6216000 | khai 227, trung 302, tan 227 | nhan: chessdb 0, engine 756 | 671 mau/phut
1550/6216000 | khai 235, trung 312, tan 234 | nhan: chessdb 0, engine 781 | 671 mau/phut
1575/6216000 | khai 242, trung 322, tan 242 | nhan: chessdb 0, engine 806 | 670 mau/phut
1600/6216000 | khai 250, trung 332, tan 249 | nhan: chessdb 0, engine 831 | 670 mau/phut
1625/6216000 | khai 257, trung 342, tan 257 | nhan: chessdb 0, engine 856 | 669 mau/phut
1650/6216000 | khai 265, trung 352, tan 264 | nhan: chessdb 0, engine 881 | 672 mau/phut
1675/6216000 | khai 272, trung 362, tan 272 | nhan: chessdb 0, engine 906 | 673 mau/phut
1700/6216000 | khai 280, trung 372, tan 279 | nhan: chessdb 0, engine 931 | 676 mau/phut
1725/6216000 | khai 287, trung 382, tan 287 | nhan: chessdb 0, engine 956 | 678 mau/phut
1750/6216000 | khai 295, trung 392, tan 294 | nhan: chessdb 0, engine 981 | 674 mau/phut
1775/6216000 | khai 302, trung 402, tan 302 | nhan: chessdb 0, engine 1006 | 675 mau/phut
1800/6216000 | khai 310, trung 412, tan 309 | nhan: chessdb 0, engine 1031 | 674 mau/phut
1825/6216000 | khai 317, trung 422, tan 317 | nhan: chessdb 0, engine 1056 | 673 mau/phut
1850/6216000 | khai 325, trung 432, tan 324 | nhan: chessdb 0, engine 1081 | 673 mau/phut
1875/6216000 | khai 332, trung 442, tan 332 | nhan: chessdb 0, engine 1106 | 674 mau/phut
1900/6216000 | khai 340, trung 452, tan 339 | nhan: chessdb 0, engine 1131 | 675 mau/phut
1925/6216000 | khai 347, trung 462, tan 347 | nhan: chessdb 0, engine 1156 | 674 mau/phut
1950/6216000 | khai 355, trung 472, tan 354 | nhan: chessdb 0, engine 1181 | 674 mau/phut
1975/6216000 | khai 362, trung 482, tan 362 | nhan: chessdb 0, engine 1206 | 676 mau/phut
2000/6216000 | khai 370, trung 492, tan 369 | nhan: chessdb 0, engine 1231 | 674 mau/phut
2025/6216000 | khai 377, trung 502, tan 377 | nhan: chessdb 0, engine 1256 | 675 mau/phut
2050/6216000 | khai 385, trung 512, tan 384 | nhan: chessdb 0, engine 1281 | 674 mau/phut
2075/6216000 | khai 392, trung 522, tan 392 | nhan: chessdb 0, engine 1306 | 674 mau/phut
